date,RateFactor1,ConfFactor1,ConfFactor2,ConfFactor3
08.02.2007,-91.02350197,-274.8213102,949.1308123,326.4757227
08.03.2007,-25.6909822,106.2703688,-44.51552955,-126.0460459
12.04.2007,-16.67274048,-46.27528011,62.62353991,81.47361523
10.05.2007,0.731299021,34.39523255,-175.7036203,-61.3499976
06.06.2007,-31.04051956,50.65561952,-285.397506,22.54124411
05.07.2007,-32.57072903,-14.27661334,82.94594276,37.0245908
02.08.2007,-48.54302047,NA,NA,NA
06.09.2007,-107.2828951,-371.378663,81.74668973,-0.194993292
04.10.2007,-104.293108,109.6588259,-249.7613309,-116.7902416
08.11.2007,-49.16509899,-80.86554029,-229.0150222,-46.74151413
06.12.2007,2.128981838,-50.63776955,512.326905,56.77459671
10.01.2008,-30.03703095,70.6985452,-220.9111031,-69.722097
07.02.2008,24.75916197,-340.8256768,-194.8760099,259.0817955
06.03.2008,-39.27532944,309.1539361,226.2091461,-174.1048756
10.04.2008,-13.72803392,70.91996403,-141.7631522,108.3764503
08.05.2008,-46.12894888,-27.60902214,-116.0508359,-300.012953
05.06.2008,-38.79779681,1058.952329,1025.845611,-153.0938888
03.07.2008,-102.8884302,296.5846566,-2538.312631,344.2111599
07.08.2008,7.338278226,216.6306652,-1545.667354,-8.827439593
04.09.2008,-26.70907249,-43.67039965,12.93553563,45.3278508
02.10.2008,253.8162182,-610.9205177,-90.4589925,41.3682192
04.12.2008,310.8985153,87.2173086,363.8094008,-754.3630927
15.01.2009,-770.2444666,656.2798447,-540.2688527,-41.89291307
05.02.2009,56.08192679,-471.4181671,-97.9192949,-84.80575646
05.03.2009,324.0359296,-236.7947694,74.02973328,177.091097
02.04.2009,438.9666538,290.0582134,-264.0398367,70.02970271
07.05.2009,-107.2656144,-111.4272487,-360.5349402,478.9393859
04.06.2009,85.14051772,41.69736703,777.3567258,112.5803508
02.07.2009,114.4203987,-655.0204675,40.50700641,-201.5325478
06.08.2009,24.41920802,-247.3858118,609.2408874,163.1957418
03.09.2009,-50.9249632,-259.3565421,-372.7867781,253.4971936
08.10.2009,-14.81132759,-52.28003753,-282.5505995,23.04830877
05.11.2009,-68.67369576,-201.9393245,297.0621903,-8.647937285
03.12.2009,-89.79509825,-529.815065,547.22282,58.78913459
14.01.2010,-50.3405977,5.545158615,-261.3742212,27.79696389
04.02.2010,4.604561659,-10.87116546,-70.48201836,-71.9872912
04.03.2010,-26.72848426,-144.0626064,135.5189611,24.28644312
08.04.2010,-43.9908256,102.6495587,-136.136274,-37.47437794
06.05.2010,-12.67448605,114.9563167,-31.7486471,-265.4871312
10.06.2010,81.27589436,-172.3818426,153.6427619,471.3213781
08.07.2010,34.97803021,319.5468465,97.36709039,174.5511897
05.08.2010,-16.32266181,17.955662,-175.9418943,-231.8170294
02.09.2010,-5.717714219,-96.98322061,5.166381277,207.6226211
07.10.2010,-2.957245361,60.03607222,-111.1461387,45.2909987
04.11.2010,-78.16442433,-53.2562134,-30.76529392,-117.2969523
02.12.2010,-40.37200577,-277.2057523,159.2911483,74.62255594
13.01.2011,-22.75990116,2.139883876,887.8594694,70.00259971
03.02.2011,-80.94214131,-197.4915716,-337.2101313,7.482125184
03.03.2011,-34.92674002,1080.974322,451.0412056,-31.90503142
07.04.2011,88.68740576,128.7592041,-183.9584113,-222.0914456
05.05.2011,-103.2688097,-635.6008798,-609.0308036,-248.9568948
09.06.2011,-20.75801869,93.42815164,-549.8187865,-130.9536639
07.07.2011,25.12814871,48.09346564,235.4807495,169.8970024
04.08.2011,-3.209132383,-1220.282815,-533.9722319,234.2167924
08.09.2011,186.0572701,143.2546245,-437.0933663,340.6828716
06.10.2011,1216.184906,159.1208122,679.644877,-401.3933052
03.11.2011,-1331.286697,53.11186613,404.7507315,-346.0103098
08.12.2011,222.2756488,-302.772865,223.2316315,-139.1850092
12.01.2012,-10.4622654,-35.86131837,65.84388514,-330.5395037
09.02.2012,-0.066364127,14.02183334,11.07073537,-20.00340403
08.03.2012,4.505236299,-9.475584895,43.81980723,-83.19923521
04.04.2012,-48.79364445,9.40402279,-10.7522173,32.96222827
03.05.2012,22.56806848,113.5612434,103.0487724,38.59234395
06.06.2012,146.9706507,85.7229001,162.6964237,24.31054532
05.07.2012,-1106.38369,50.92114021,-206.1437563,68.56600583
02.08.2012,62.12638236,85.81271262,139.5185895,-663.1206209
06.09.2012,52.63585874,-22.78810673,-17.84013294,43.32360068
04.10.2012,21.91655556,63.29573531,-46.69751518,-69.23419823
08.11.2012,18.05090344,94.04957764,28.90959813,-84.9317944
06.12.2012,5.849596888,-25.49756768,-204.315982,-147.072762
10.01.2013,-18.39495657,60.65826479,146.8235598,145.0965082
07.02.2013,-19.75405444,2.179428207,-347.5373939,-181.7784528
07.03.2013,-30.84248513,27.05984552,238.8030266,253.8003423
04.04.2013,-12.38970709,7.911132891,-52.78511289,-19.51978252
02.05.2013,-27.33893171,-45.8460797,-75.83235342,-326.6553565
06.06.2013,19.26793813,-27.76435261,463.561783,363.6698923
04.07.2013,-11.64303058,4.032733109,-410.1283593,-112.0619899
01.08.2013,-19.68480218,-58.69262281,425.3320152,345.1095548
05.09.2013,-15.16935449,-17.91605788,45.87646897,89.86228444
02.10.2013,-16.46115368,13.65947387,10.26800472,146.1473418
07.11.2013,42.18940422,-21.3998718,255.4775876,-37.14950809
05.12.2013,14.75020026,99.63050687,54.24375142,280.8380748
09.01.2014,-27.54965589,-24.2453749,-83.68032159,-3.390478665
06.02.2014,30.83345817,312.8532678,-12.8346995,247.4524821
06.03.2014,62.02893614,396.1701167,-216.3789329,172.5101633
03.04.2014,67.073386,156.7333913,-146.703646,-94.77671833
08.05.2014,175.2128817,40.00416208,-386.3078063,-106.3413023
05.06.2014,51.91987516,-544.8432502,643.3389554,-167.2051168
03.07.2014,-24.92464663,21.08497278,-75.34268084,12.46594505
07.08.2014,-24.79077335,17.90218072,22.30429633,13.41211326
04.09.2014,-261.5016739,106.4180474,17.22050069,273.0689407
02.10.2014,-27.79159324,85.5597748,-80.89621226,59.78147277
06.11.2014,-8.377395562,53.06155715,-104.8348109,136.0367553
04.12.2014,-43.40800519,75.48085751,37.4646867,48.58368651
22.01.2015,29.33449854,-152.7522138,156.5992622,-775.118311
05.03.2015,-73.51485191,-146.7691494,211.8192465,-334.1735009
15.04.2015,64.40833563,-16.53087457,159.3617513,-119.2504338
03.06.2015,-65.7181354,90.2269291,-141.3544701,626.6069546
16.07.2015,-28.59811579,31.3357502,-15.44875423,160.661095
03.09.2015,-19.42619441,32.24775228,-75.06433513,-144.4160899
22.10.2015,-20.4606544,-122.7180593,-159.017734,-232.3406541
03.12.2015,524.4907908,171.9519238,308.0308571,594.2187263
21.01.2016,63.30460266,-170.0652137,-168.9250329,-181.0455236
10.03.2016,204.3498412,-24.52131158,474.4557213,-60.32652878
21.04.2016,-20.83399708,33.40949716,-4.531239729,84.86986902
02.06.2016,-24.16201802,-50.65601328,171.6767892,-243.8209223
21.07.2016,21.62005665,323.665467,-379.236268,103.4563659
08.09.2016,25.26015574,16.00455092,64.05773905,-0.1241008
20.10.2016,-9.874819565,-15.31254109,72.64292393,-197.3603051
08.12.2016,-12.3326826,48.47346777,2.10569914,-21.8084987
19.01.2017,-18.19355298,0.682623008,37.8061885,0.81709146
09.03.2017,-9.959959071,-98.63149774,317.7233809,367.5499919
27.04.2017,-2.37962952,15.14430261,8.66477073,-144.9111623
08.06.2017,-20.74953918,26.03172383,-29.58808688,-64.46531993
20.07.2017,-26.309472,-22.46265634,29.61571882,37.46687555
07.09.2017,-51.20637802,49.20631648,-67.26109155,-94.15162187
26.10.2017,-18.27563145,-23.04020843,54.63569315,-11.65331408
14.12.2017,44.82271117,-25.48680497,52.43959084,75.66396202
25.01.2018,-19.20595655,-14.54360286,60.94505477,456.4360896
08.03.2018,-15.24876322,21.58627676,0.920848238,-296.6791549
26.04.2018,-21.01460877,53.12550486,-68.73305672,44.55633422
14.06.2018,-49.85041787,56.28180323,-68.24247241,-0.951500867
26.07.2018,-13.61028375,6.651484276,20.36586681,-106.7266971
13.09.2018,-0.909808996,-18.371074,-8.29810846,91.00918845
25.10.2018,47.79825379,-4.130256333,13.6398747,-90.66714695
13.12.2018,-63.91538565,45.76099256,-62.70853572,-135.0238534
24.01.2019,-47.51607402,31.24978644,-27.57928131,-61.66115277
07.03.2019,-7.793204157,-57.41233659,118.6355832,-274.8864478
10.04.2019,29.84406062,-36.03334609,-29.27979997,-265.6705017
06.06.2019,22.72539483,75.29185184,-27.52545921,70.79900607
25.07.2019,316.3970015,110.808379,82.42495989,506.6143737
12.09.2019,342.9913296,80.84436361,384.1715875,429.2837101
24.10.2019,-29.2370371,9.857893098,61.58410568,-53.74947405
12.12.2019,-35.12289524,43.78256244,-33.82785332,250.0329312
23.01.2020,16.20877575,128.6404713,-160.9902482,-153.1157103
